"","idx","time","data"
"1",1,313,2767.4
"2",1,314,2766.8
"3",1,315,2782.4
"4",1,316,2811.3
"5",1,317,2836.2
"6",1,318,2850.7
"7",1,319,2870.2
"8",1,320,2869.6
"9",1,321,2898.5
"10",1,322,2937.2
"11",1,323,2965.5
"12",1,324,2994.8
"13",1,325,3023.4
"14",1,326,3065.9
"15",1,327,3097.1
"16",1,328,3109.4
"17",1,329,3114.6
"18",1,330,3141.2
"19",1,331,3162.5
"20",1,332,3191.2
"21",1,333,3222.7
"22",1,334,3216
"23",1,335,3239.9
"24",1,336,3271.6
"25",1,337,3288.2
"26",1,338,3314.7
"27",1,339,3336.2
"28",1,340,3357
"29",1,341,3347.7
"30",1,342,3369.3
"31",1,343,3381.2
"32",1,344,3389.9
"33",1,345,3402.7
"34",1,346,3434
"35",1,347,3443.9
"36",1,348,3492.2
"37",1,349,3500.2
"38",1,350,3519.6
"39",1,351,3544.3
"40",1,352,3580.7
"41",1,353,3578.9
"42",1,354,3582.4
"43",1,355,3595.4
"44",1,356,3610
"45",1,357,3630.5
"46",1,358,3629.2
"47",1,359,3639.7
"48",1,360,3674.4
"49",1,361,3687.5
"50",1,362,3722.6
"51",1,363,3737.3
"52",1,364,3751.3
"53",1,365,3759.1
"54",1,366,3768
"55",1,367,3789.5
"56",1,368,3816.3
"57",1,369,3836.7
"58",1,370,3903.5
"59",1,371,3896.3
"60",1,372,3955.6
"61",1,373,3942.9
"62",1,374,3962.8
"63",1,375,3997.2
"64",1,376,4019.2
"65",1,377,4035.6
"66",1,378,4059
"67",1,379,4083.2
"68",1,380,4101.4
"69",1,381,4124
"70",1,382,4191.2
"71",1,383,4177.8
"72",1,384,4216.7
"73",1,385,4269.6
"74",1,386,4305.6
"75",1,387,4340.3
"76",1,388,4355.2
"77",1,389,4354.6
"78",1,390,4362.4
"79",1,391,4383.7
"80",1,392,4387.2
"81",1,393,4396.8
"82",1,394,4439.3
"83",1,395,4473.6
"84",1,396,4495.2
"85",1,397,4548.1
"86",1,398,4588.3
"87",1,399,4620.3
"88",1,400,4640.4
"89",1,401,4638.2
"90",1,402,4667.1
"91",1,403,4686.5
"92",1,404,4693.7
"93",1,405,4725.6
"94",1,406,4724.8
"95",1,407,4751.2
