"","idx","time","data"
"1",1,229,5572.3
"2",1,230,5565.55
"3",1,231,5576.85
"4",1,232,5577.3
"5",1,233,5598.85
"6",1,234,5752.55
"7",1,235,5782.2
"8",1,236,5763
"9",1,237,5694.6
"10",1,238,5686.85
"11",1,239,5691.6
"12",1,240,5674.15
"13",1,241,5635.55
"14",1,242,5652.6
"15",1,243,5675.7
"16",1,244,5692.25
"17",1,245,5747.05
"18",1,246,5854.15
"19",1,247,5894.8
"20",1,248,5839.4
"21",1,249,5778.15
"22",1,250,5797.75
"23",1,251,5790.7
"24",1,252,5786.3
"25",1,253,5758.6
"26",1,254,5764.75
"27",1,255,5804.75
"28",1,256,5801.35
"29",1,257,5829.75
"30",1,258,5913.7
"31",1,259,5962
"32",1,260,5920.25
"33",1,261,5879.1
"34",1,262,5902.3
"35",1,263,5889.95
"36",1,264,5873.9
"37",1,265,5856.1
"38",1,266,5870.8
"39",1,267,5900.1
"40",1,268,5900.6
"41",1,269,5944.3
"42",1,270,6066.2
"43",1,271,6098.75
"44",1,272,6058.4
"45",1,273,5998
"46",1,274,6022.4
"47",1,275,6018.7
"48",1,276,5989.95
"49",1,277,5972.55
"50",1,278,5985.35
"51",1,279,6004.45
"52",1,280,6004.1
"53",1,281,6071.05
"54",1,282,6143.55
"55",1,283,6191.25
"56",1,284,6167.5
"57",1,285,6081.35
"58",1,286,6124.25
"59",1,287,6118.3
"60",1,288,6097.8
"61",1,289,6074.55
"62",1,290,6083.9
"63",1,291,6084.65
"64",1,292,6099.8
"65",1,293,6124.45
"66",1,294,6235.65
"67",1,295,6278.05
"68",1,296,6254.4
"69",1,297,6177.3
"70",1,298,6205.95
"71",1,299,6217.2
"72",1,300,6190.8
"73",1,301,6189.55
"74",1,302,6179.5
"75",1,303,6195.35
"76",1,304,6213
"77",1,305,6243.45
"78",1,306,6361.75
"79",1,307,6395.2
"80",1,308,6356.6
"81",1,309,6276.5
"82",1,310,6306.25
"83",1,311,6318.4
"84",1,312,6284.9
"85",1,313,6249.5
"86",1,314,6256
"87",1,315,6272.9
"88",1,316,6273.65
"89",1,317,6313.95
"90",1,318,6396.85
"91",1,319,6426.35
"92",1,320,6382.6
"93",1,321,6319
"94",1,322,6329.5
"95",1,323,6321.8
"96",1,324,6312.35
"97",1,325,6260
"98",1,326,6283.6
"99",1,327,6295.15
"100",1,328,6309.15
"101",1,329,6315.75
"102",1,330,6427.95
"103",1,331,6446.55
"104",1,332,6385.65
"105",1,333,6351.45
"106",1,334,6359.1
"107",1,335,6350.05
"108",1,336,6335.6
"109",1,337,6333.55
"110",1,338,6348.55
"111",1,339,6369.1
"112",1,340,6372.75
"113",1,341,6413.95
"114",1,342,6528.6
"115",1,343,6558.4
"116",1,344,6501.95
"117",1,345,6430.5
"118",1,346,6419.9
"119",1,347,6430.9
"120",1,348,6420.95
"121",1,349,6377.45
"122",1,350,6400.85
"123",1,351,6408.95
"124",1,352,6399.15
"125",1,353,6464.55
"126",1,354,6565.8
"127",1,355,6589.75
"128",1,356,6547.7
"129",1,357,6467
"130",1,358,6501.1
"131",1,359,6499.55
"132",1,360,6493.1
"133",1,361,6541.45
"134",1,362,6559.5
"135",1,363,6557.35
"136",2,229,8335
"137",2,230,8320
"138",2,231,8320
"139",2,232,8355
"140",2,233,8345
"141",2,234,8340
"142",2,235,8320
"143",2,236,8410
"144",2,237,8475
"145",2,238,8475
"146",2,239,8425
"147",2,240,8440
"148",2,241,8430
"149",2,242,8420
"150",2,243,8430
"151",2,244,8465
"152",2,245,8450
"153",2,246,8450
"154",2,247,8490
"155",2,248,8560
"156",2,249,8600
"157",2,250,8525
"158",2,251,8495
"159",2,252,8490
"160",2,253,8485
"161",2,254,8515
"162",2,255,8505
"163",2,256,8510
"164",2,257,8525
"165",2,258,8510
"166",2,259,8520
"167",2,260,8630
"168",2,261,8660
"169",2,262,8500
"170",2,263,8510
"171",2,264,8490
"172",2,265,8455
"173",2,266,8455
"174",2,267,8465
"175",2,268,8475
"176",2,269,8435
"177",2,270,8400
"178",2,271,8360
"179",2,272,8485
"180",2,273,8580
"181",2,274,8745
"182",2,275,8755
"183",2,276,8750
"184",2,277,8740
"185",2,278,8700
"186",2,279,8680
"187",2,280,8675
"188",2,281,8630
"189",2,282,8590
"190",2,283,8600
"191",2,284,8680
"192",2,285,8715
"193",2,286,8705
"194",2,287,8775
"195",2,288,8750
"196",2,289,8745
"197",2,290,8680
"198",2,291,8680
"199",2,292,8660
"200",2,293,8570
"201",2,294,8425
"202",2,295,8365
"203",2,296,8460
"204",2,297,8520
"205",2,298,8435
"206",2,299,8525
"207",2,300,8480
"208",2,301,8480
"209",2,302,8420
"210",2,303,8420
"211",2,304,8420
"212",2,305,8365
"213",2,306,8330
"214",2,307,8330
"215",2,308,8440
"216",2,309,8510
"217",2,310,8545
"218",2,311,8520
"219",2,312,8500
"220",2,313,8485
"221",2,314,8390
"222",2,315,8345
"223",2,316,8285
"224",2,317,8195
"225",2,318,8150
"226",2,319,8135
"227",2,320,8200
"228",2,321,8005
"229",2,322,7850
"230",2,323,8075
"231",2,324,8085
"232",2,325,8075
"233",2,326,8010
"234",2,327,7300
"235",2,328,7280
"236",2,329,7290
"237",2,330,7525
"238",2,331,8020
"239",2,332,8080
"240",2,333,8120
"241",2,334,8070
"242",2,335,8025
"243",2,336,8020
"244",2,337,7995
"245",2,338,7925
"246",2,339,7925
"247",2,340,7885
"248",2,341,7870
"249",2,342,7850
"250",2,343,7840
"251",2,344,7830
"252",2,345,7830
"253",2,346,7760
"254",2,347,7655
"255",2,348,7585
"256",2,349,7575
"257",2,350,7560
"258",2,351,7485
"259",2,352,7460
"260",2,353,7420
"261",2,354,7385
"262",2,355,7355
"263",2,356,7410
"264",2,357,7410
"265",2,358,7375
"266",2,359,7350
"267",2,360,7305
"268",2,361,7180
"269",2,362,7130
"270",2,363,7145
"271",3,229,5488.95
"272",3,230,5482.35
"273",3,231,5493.65
"274",3,232,5493.75
"275",3,233,5515.4
"276",3,234,5669.15
"277",3,235,5699
"278",3,236,5678.9
"279",3,237,5609.85
"280",3,238,5602.1
"281",3,239,5607.35
"282",3,240,5589.75
"283",3,241,5551.25
"284",3,242,5568.4
"285",3,243,5591.4
"286",3,244,5607.6
"287",3,245,5662.55
"288",3,246,5769.65
"289",3,247,5809.9
"290",3,248,5753.8
"291",3,249,5692.15
"292",3,250,5712.5
"293",3,251,5705.75
"294",3,252,5701.4
"295",3,253,5673.75
"296",3,254,5679.6
"297",3,255,5719.7
"298",3,256,5716.25
"299",3,257,5744.5
"300",3,258,5828.6
"301",3,259,5876.8
"302",3,260,5833.95
"303",3,261,5792.5
"304",3,262,5817.3
"305",3,263,5804.85
"306",3,264,5789
"307",3,265,5771.55
"308",3,266,5786.25
"309",3,267,5815.45
"310",3,268,5815.85
"311",3,269,5859.95
"312",3,270,5982.2
"313",3,271,6015.15
"314",3,272,5973.55
"315",3,273,5912.2
"316",3,274,5934.95
"317",3,275,5931.15
"318",3,276,5902.45
"319",3,277,5885.15
"320",3,278,5898.35
"321",3,279,5917.65
"322",3,280,5917.35
"323",3,281,5984.75
"324",3,282,6057.65
"325",3,283,6105.25
"326",3,284,6080.7
"327",3,285,5994.2
"328",3,286,6037.2
"329",3,287,6030.55
"330",3,288,6010.3
"331",3,289,5987.1
"332",3,290,5997.1
"333",3,291,5997.85
"334",3,292,6013.2
"335",3,293,6038.75
"336",3,294,6151.4
"337",3,295,6194.4
"338",3,296,6169.8
"339",3,297,6092.1
"340",3,298,6121.6
"341",3,299,6131.95
"342",3,300,6106
"343",3,301,6104.75
"344",3,302,6095.3
"345",3,303,6111.15
"346",3,304,6128.8
"347",3,305,6159.8
"348",3,306,6278.45
"349",3,307,6311.9
"350",3,308,6272.2
"351",3,309,6191.4
"352",3,310,6220.8
"353",3,311,6233.2
